Island Group,Year,Region,Province,Estimated Cases,Standard Error ('000),Coefficient of Variation (%)
Luzon,2020,NCR,NCR,853.795,138.931,4.87
Luzon,2020,NCR,Manila,180,144.2,4.84
Luzon,2020,REGION I (ILOCOS REGION),Ilocos Norte,164.842,19.156,11.63
Luzon,2020,REGION I (ILOCOS REGION),Ilocos Sur,181.994,21.019,11.55
Luzon,2020,REGION I (ILOCOS REGION),La Union,212.323,30.09,14.17
Luzon,2020,REGION I (ILOCOS REGION),Pangasinan,230.148,40.617,17.65
Luzon,2020,REGION II (CAGAYAN VALLEY),Batanes,17.354,2.156,12.42
Luzon,2020,REGION II (CAGAYAN VALLEY),Cagayan,323.245,36.455,11.28
Luzon,2020,REGION II (CAGAYAN VALLEY),Isabela,508.188,58.25,11.46
Luzon,2020,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,146.793,16.736,11.4
Luzon,2020,REGION II (CAGAYAN VALLEY),Quirino,72.008,10.122,14.06
Luzon,2020,REGION III (CENTRAL LUZON),Aurora,95.256,13.083,13.73
Luzon,2020,REGION III (CENTRAL LUZON),Bataan,275.387,31.239,11.34
Luzon,2020,REGION III (CENTRAL LUZON),Bulacan,93.705,95.854,9.65
Luzon,2020,REGION III (CENTRAL LUZON),Nueva Ecija,50.17,50.922,9.79
Luzon,2020,REGION III (CENTRAL LUZON),Pampanga,64.052,61.453,9.4
Luzon,2020,REGION III (CENTRAL LUZON),Angeles City,173.252,18.774,10.83
Luzon,2020,REGION III (CENTRAL LUZON),Tarlac,419.391,40.283,9.6
Luzon,2020,REGION III (CENTRAL LUZON),Zambales,264.411,27.737,10.49
Luzon,2020,REGION III (CENTRAL LUZON),Olongapo City,112.553,13.951,12.39
Luzon,2020,REGION IV-A (CALABARZON),Batangas,785.464,72.222,9.2
Luzon,2020,REGION IV-A (CALABARZON),Cavite,104.823,107.282,9.71
Luzon,2020,REGION IV-A (CALABARZON),Laguna,170.529,77.307,8.88
Luzon,2020,REGION IV-A (CALABARZON),Quezon,491.204,48.005,9.77
Luzon,2020,REGION IV-A (CALABARZON),Lucena City,125.313,14.462,11.54
Luzon,2020,REGION IV-A (CALABARZON),Rizal,104.002,64.73,9.2
Luzon,2020,REGION IV-B (MIMAROPA),Marinduque,84.02,9.8,11.66
Luzon,2020,REGION IV-B (MIMAROPA),Occidental Mindoro,151.114,20.058,13.28
Luzon,2020,REGION IV-B (MIMAROPA),Oriental Mindoro,128.972,35.617,10.83
Luzon,2020,REGION IV-B (MIMAROPA),Palawan,108.812,39.849,9.75
Luzon,2020,REGION IV-B (MIMAROPA),Puerto Princesa City,96.053,13.86,14.43
Luzon,2020,REGION V (BICOL REGION),Albay,352.529,34.261,9.72
Luzon,2020,REGION V (BICOL REGION),Camarines Norte,192.67,20.095,10.43
Luzon,2020,REGION V (BICOL REGION),Camarines Sur,614.18,58.807,9.58
Luzon,2020,REGION V (BICOL REGION),Catanduanes,99.741,10.63,10.66
Luzon,2020,REGION V (BICOL REGION),Masbate,244.156,26.683,10.93
Luzon,2020,REGION V (BICOL REGION),Sorsogon,282.991,29.222,10.33
Luzon,2021,NCR,NCR,295.25,142.81,4.88
Luzon,2021,NCR,Manila,180,144.2,4.84
Luzon,2021,REGION I (ILOCOS REGION),Ilocos Norte,169.5,20,11.8
Luzon,2021,REGION I (ILOCOS REGION),Ilocos Sur,186.3,22.5,12.08
Luzon,2021,REGION I (ILOCOS REGION),La Union,217,31.1,14.33
Luzon,2021,REGION I (ILOCOS REGION),Pangasinan,240,42.3,17.63
Luzon,2021,REGION II (CAGAYAN VALLEY),Batanes,18,2.3,12.78
Luzon,2021,REGION II (CAGAYAN VALLEY),Cagayan,330,37.9,11.48
Luzon,2021,REGION II (CAGAYAN VALLEY),Isabela,515,59,11.46
Luzon,2021,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,150,17.3,11.53
Luzon,2021,REGION II (CAGAYAN VALLEY),Quirino,74,10.5,14.19
Luzon,2021,REGION III (CENTRAL LUZON),Aurora,97,13.4,13.81
Luzon,2021,REGION III (CENTRAL LUZON),Bataan,280,32,11.43
Luzon,2021,REGION III (CENTRAL LUZON),Bulacan,105,96.5,9.6
Luzon,2021,REGION III (CENTRAL LUZON),Nueva Ecija,530,52,9.81
Luzon,2021,REGION III (CENTRAL LUZON),Pampanga,665,62.8,9.45
Luzon,2021,REGION III (CENTRAL LUZON),Angeles City,175,19,10.86
Luzon,2021,REGION III (CENTRAL LUZON),Tarlac,425,41,9.65
Luzon,2021,REGION III (CENTRAL LUZON),Zambales,270,28,10.37
Luzon,2021,REGION III (CENTRAL LUZON),Olongapo City,115,14.2,12.35
Luzon,2021,REGION IV-A (CALABARZON),Batangas,795,73.5,9.24
Luzon,2021,REGION IV-A (CALABARZON),Cavite,120,109,9.73
Luzon,2021,REGION IV-A (CALABARZON),Laguna,880,78,8.86
Luzon,2021,REGION IV-A (CALABARZON),Quezon,500,49,9.8
Luzon,2021,REGION IV-A (CALABARZON),Lucena City,127,14.6,11.5
Luzon,2021,REGION IV-A (CALABARZON),Rizal,710,65.5,9.23
Luzon,2021,REGION IV-B (MIMAROPA),Marinduque,85,9.9,11.65
Luzon,2021,REGION IV-B (MIMAROPA),Occidental Mindoro,155,20.3,13.1
Luzon,2021,REGION IV-B (MIMAROPA),Oriental Mindoro,332,36,10.84
Luzon,2021,REGION IV-B (MIMAROPA),Palawan,415,40.2,9.69
Luzon,2021,REGION IV-B (MIMAROPA),Puerto Princesa City,97,14,14.43
Luzon,2021,REGION V (BICOL REGION),Albay,360,35,9.72
Luzon,2021,REGION V (BICOL REGION),Camarines Norte,195,20.6,10.56
Luzon,2021,REGION V (BICOL REGION),Camarines Sur,620,59.8,9.64
Luzon,2021,REGION V (BICOL REGION),Catanduanes,101,10.8,10.69
Luzon,2021,REGION V (BICOL REGION),Masbate,248,27.2,10.97
Luzon,2022,NCR,NCR,180,144.2,4.84
Luzon,2022,NCR,Manila,180,144.2,4.84
Luzon,2022,REGION I (ILOCOS REGION),Ilocos Norte,171,20.3,11.87
Luzon,2022,REGION I (ILOCOS REGION),Ilocos Sur,188,22.8,12.13
Luzon,2022,REGION I (ILOCOS REGION),La Union,220,32,14.55
Luzon,2022,REGION I (ILOCOS REGION),Pangasinan,245,43.1,17.59
Luzon,2022,REGION II (CAGAYAN VALLEY),Batanes,18.3,2.4,13.11
Luzon,2022,REGION II (CAGAYAN VALLEY),Cagayan,335,38.2,11.4
Luzon,2022,REGION II (CAGAYAN VALLEY),Isabela,520,60,11.54
Luzon,2022,REGION II (CAGAYAN VALLEY),Nueva Vizcaya,152,17.7,11.64
Luzon,2022,REGION II (CAGAYAN VALLEY),Quirino,75.5,10.6,14.05
Luzon,2022,REGION III (CENTRAL LUZON),Aurora,99,13.6,13.74
Luzon,2022,REGION III (CENTRAL LUZON),Bataan,282,32.5,11.53
Luzon,2022,REGION III (CENTRAL LUZON),Bulacan,115,97,9.56
Luzon,2022,REGION III (CENTRAL LUZON),Nueva Ecija,535,52.3,9.78
Luzon,2022,REGION III (CENTRAL LUZON),Pampanga,670,63.2,9.43
Luzon,2022,REGION III (CENTRAL LUZON),Angeles City,177,19.2,10.85
Luzon,2022,REGION III (CENTRAL LUZON),Tarlac,428,41.3,9.65
Luzon,2022,REGION III (CENTRAL LUZON),Zambales,273,28.4,10.41
Luzon,2022,REGION III (CENTRAL LUZON),Olongapo City,116,14.3,12.33
Luzon,2022,REGION IV-A (CALABARZON),Batangas,800,74,9.25
Luzon,2022,REGION IV-A (CALABARZON),Cavite,135,110,9.69
Luzon,2022,REGION IV-A (CALABARZON),Laguna,885,78.5,8.87
Luzon,2022,REGION IV-A (CALABARZON),Quezon,510,49.5,9.71
Luzon,2022,REGION IV-A (CALABARZON),Lucena City,128,14.7,11.48
Luzon,2022,REGION IV-A (CALABARZON),Rizal,715,66,9.23
Luzon,2022,REGION IV-B (MIMAROPA),Marinduque,86,10,11.63
Luzon,2022,REGION IV-B (MIMAROPA),Occidental Mindoro,158,20.6,13.05
Luzon,2022,REGION IV-B (MIMAROPA),Oriental Mindoro,336,36.4,10.83
Luzon,2022,REGION IV-B (MIMAROPA),Palawan,420,40.5,9.64
Luzon,2022,REGION IV-B (MIMAROPA),Puerto Princesa City,98,14.1,14.39
Luzon,2022,REGION V (BICOL REGION),Albay,365,35.5,9.73
Luzon,2022,REGION V (BICOL REGION),Camarines Norte,198,20.8,10.51
Luzon,2022,REGION V (BICOL REGION),Camarines Sur,625,60.2,9.63
Luzon,2022,REGION V (BICOL REGION),Catanduanes,102.5,11,10.73
Luzon,2022,REGION V (BICOL REGION),Masbate,252,27.6,10.95
