PHILIPPINES/ REGION/ PROVINCE,"Estimate
('000)","Standard Error
('000)","Coefficient of Variation
(%)","Estimate
('000).1","Standard Error
('000).1","Coefficient of Variation
(%).1","Estimate
('000).2","Standard Error
('000).2","Coefficient of Variation
(%).2"
REGION IVA  CALABARZON,11390.953,537.015,4.71,11668.448105174908,455.0842440026369,3.9,7354.511,353.86,4.81
REGION III  (CENTRAL LUZON),8787.964,391.358,4.45,9000.95065388335,338.5605372808341,3.76,5183.347,236.258,4.56
REGION V  (BICOL REGION),4028.289,191.063,4.74,4083.468018458303,158.72521551987793,3.89,2459.668,118.535,4.82
REGION I  (ILOCOS REGION),3585.438,217.378,6.06,3643.097408749984,182.1946700296325,5.0,2336.973,143.737,6.15
     Cavite,3031.37,327.207,10.79,3114.666300050024,270.2437466551483,8.68,1937.621,212.749,10.98
     Bulacan,2624.467,277.118,10.56,2691.313087908357,232.9606292016759,8.66,1555.796,167.881,10.79
REGION II (CAGAYAN VALLEY),2488.277,146.878,5.9,2515.5550908500104,123.80350213252929,4.92,1635.161,96.46,5.9
     Laguna,2404.553,245.633,10.22,2437.9818303000065,220.96757671491892,9.06,1533.419,159.172,10.38
     Rizal,2275.927,234.049,10.28,2339.801544858332,196.31334975857348,8.39,1533.158,162.096,10.57
          Quezon City,2268.773,196.515,8.66,2275.750053600006,164.29064553457735,7.22,1432.462,126.398,8.82
     Batangas,2152.458,218.863,10.17,2220.9194401166774,183.4294770277851,8.26,1383.431,143.624,10.38
MIMAROPA REGION,2080.397,95.888,4.61,2115.258847733392,79.60371325493175,3.76,1350.838,63.834,4.73
     Pangasinan,2051.934,199.093,9.7,2086.891154066671,166.3670002725411,7.97,1307.99,131.259,10.04
     Pampanga,1709.915,174.909,10.23,1748.604626891663,167.39047195691927,9.57,990.297,105.022,10.61
     Nueva Ecija,1671.54,168.898,10.1,1711.9411105583206,138.55114293321236,8.09,981.966,102.055,10.39
          Manila,1357.617,116.761,8.6,1370.0207040166708,107.53925103765431,7.85,841.97,73.267,8.7
     Quezon,1333.941,133.467,10.01,1360.405732383327,112.70537225980082,8.28,842.126,86.659,10.29
     Camarines Sur,1339.49,138.565,10.34,1352.6996118416662,113.05464502757886,8.36,786.533,84.459,10.74
CORDILLERA ADMINISTRATIVE REGION  (CAR),1251.441,54.945,4.39,1266.619300441629,43.13139840804225,3.41,801.642,35.001,4.37
          Caloocan City,1172.141,119.706,10.21,1176.3189149749994,97.19389543195597,8.26,693.644,71.28,10.28
     Isabela,1143.685,114.798,10.04,1160.670736624996,97.02393318449322,8.36,723.901,72.709,10.04
     Tarlac,1030.293,100.353,9.74,1059.1354915499955,89.37192351261078,8.44,614.127,61.039,9.94
     Albay,949.36,94.958,10.0,965.4301948833311,79.75428469495073,8.26,584.646,58.897,10.07
     Cagayan,877.511,84.876,9.67,880.6699761499953,71.36175202420971,8.1,587.126,58.47,9.96
          Taguig City,708.736,71.029,10.02,739.2068821666605,59.73029428876238,8.08,417.325,43.02,10.31
          Pasig,607.98,54.493,8.96,618.9997669166652,47.63357511310209,7.7,362.044,32.575,9.0
     Palawan,606.99,61.962,10.21,618.2819515750023,50.854029082943335,8.23,404.228,42.439,10.5
     Masbate,597.949,56.673,9.48,607.9258729666682,49.8924395575681,8.21,412.292,40.775,9.89
     Bataan,593.691,58.345,9.83,606.0215559333362,49.01778435513429,8.09,324.561,31.987,9.86
     Oriental Mindoro,585.649,56.89,9.71,599.454981516664,48.93549002522482,8.16,365.135,36.117,9.89
     La Union,586.505,56.623,9.65,596.0262557750068,48.8905379178005,8.2,381.251,36.582,9.6
          Paranaque,564.632,50.689,8.98,574.155299608335,42.40372137069477,7.39,331.406,30.962,9.34
     Sorsogon,549.694,55.114,10.03,558.2796328083331,46.53867793447192,8.34,330.765,33.182,10.03
     Ilocos Sur,506.935,50.859,10.03,513.8327130666695,42.82415964180674,8.33,306.06,31.233,10.2
          Makati City,500.685,50.303,10.05,507.7378673083336,40.68908650465419,8.01,310.092,31.172,10.05
          Valenzuela City,473.49,42.194,8.91,477.40690200833296,36.087705016648435,7.56,282.76,25.77,9.11
     Zambales,463.864,47.171,10.17,472.9630923583336,41.39103212320352,8.75,270.999,28.027,10.34
          Las Pinas,450.523,44.933,9.97,456.2760053083314,37.849003831533615,8.3,263.3,26.726,10.15
     Ilocos Norte,440.064,42.688,9.7,446.3472858416631,35.95449430327381,8.06,341.672,33.428,9.78
     Camarines Norte,414.771,41.464,10.0,420.74494275832853,34.72553356459138,8.25,235.327,23.531,10.0
          Muntinlupa,407.54,36.343,8.92,413.07389510833457,32.7428633286028,7.93,261.944,24.087,9.2
          Angeles City,372.815,32.613,8.75,385.27403492500025,27.42960356093639,7.12,241.662,21.275,8.8
     Benguet,362.387,39.199,10.82,367.7749759000016,31.578544846972576,8.59,236.579,24.992,10.56
          Marikina,347.677,30.561,8.79,350.4264072333334,29.929019207931443,8.54,202.7,18.281,9.02
          Mandaluyong,338.779,33.467,9.88,349.8369684166659,27.133176604522454,7.76,208.296,20.693,9.93
