Island Group,Year,Region,Province,Estimated Cases,Standard Error ('000),Coefficient of Variation (%)
Mindanao,2020,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,712.916,68.654,9.63
Mindanao,2020,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,76.433,75.036,10.47
Mindanao,2020,REGION IX (ZAMBOANGA PENINSULA),Zamboanga City,597.909,55.86,9.34
Mindanao,2020,REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,448.112,43.996,9.82
Mindanao,2020,REGION IX (ZAMBOANGA PENINSULA),Isabela City,85.394,13.917,16.3
Mindanao,2020,REGION X (NORTHERN MINDANAO),Bukidnon,101.113,100.576,9.75
Mindanao,2020,REGION X (NORTHERN MINDANAO),Camiguin,62.696,10.341,16.49
Mindanao,2020,REGION X (NORTHERN MINDANAO),Lanao del Norte,493.28,51.209,10.38
Mindanao,2020,REGION X (NORTHERN MINDANAO),Iligan City,239.506,22.057,9.21
Mindanao,2020,REGION X (NORTHERN MINDANAO),Misamis Occidental,436.131,42.581,9.76
Mindanao,2020,REGION X (NORTHERN MINDANAO),Misamis Oriental,669.596,70.9,10.59
Mindanao,2020,REGION X (NORTHERN MINDANAO),Cagayan De Oro City,519.243,46.571,8.97
Mindanao,2020,REGION XI (DAVAO REGION),Davao del Norte,27.724,77.012,10.58
Mindanao,2020,REGION XI (DAVAO REGION),Davao Sur,485.825,48.112,9.9
Mindanao,2020,REGION XI (DAVAO REGION),Davao City,124,133.218,10.46
Mindanao,2020,REGION XI (DAVAO REGION),Davao Oriental,398.044,41.452,10.41
Mindanao,2020,REGION XI (DAVAO REGION),Davao de Oro,52.963,54.348,10.26
Mindanao,2020,REGION XI (DAVAO REGION),Davao Occidental,229.163,23.498,10.25
Mindanao,2020,REGION XII (SOCCSKSARGEN),Cotabato,103.285,103.905,10.25
Mindanao,2020,REGION XII (SOCCSKSARGEN),Cotabato City,201.752,26.107,12.94
Mindanao,2020,REGION XII (SOCCSKSARGEN),South Cotabato,687.205,66.735,9.71
