Island Group,Year,Region,Province,Estimated Cases,Standard Error ('000),Coefficient of Variation (%)
Visayas,2020,REGION VI (WESTERN VISAYAS),Aklan,428.948,41.237,9.71
Visayas,2020,REGION VI (WESTERN VISAYAS),Antique,404.014,40.587,10.16
Visayas,2020,REGION VI (WESTERN VISAYAS),Capiz,584.174,57.318,9.93
Visayas,2020,REGION VI (WESTERN VISAYAS),Iloilo,147.976,134.394,9.4
Visayas,2020,REGION VI (WESTERN VISAYAS),Iloilo City,333.658,30.145,9.01
Visayas,2020,REGION VI (WESTERN VISAYAS),Negros Occidental,192.145,174.431,9.82
Visayas,2020,REGION VI (WESTERN VISAYAS),Bacolod City,436.164,37.487,8.73
Visayas,2020,REGION VI (WESTERN VISAYAS),Guimaras,130.589,17.08,13.27
Visayas,2020,REGION VII (CENTRAL VISAYAS),Bohol,750,91.423,12.19
Visayas,2020,REGION VII (CENTRAL VISAYAS),Cebu,150,238.896,13.65
Visayas,2020,REGION VII (CENTRAL VISAYAS),Cebu City,540,69.099,12.8
Visayas,2020,REGION VII (CENTRAL VISAYAS),Lapulapu City,275,29.119,10.59
Visayas,2020,REGION VII (CENTRAL VISAYAS),Mandaue City,230,25.158,10.94
Visayas,2020,REGION VII (CENTRAL VISAYAS),Negros Oriental,92.985,98.023,9.95
Visayas,2020,REGION VII (CENTRAL VISAYAS),Siquijor,71.073,9.483,13.42
Visayas,2020,REGION VIII (EASTERN VISAYAS),Eastern Samar,343.026,33.857,10.02
Visayas,2020,REGION VIII (EASTERN VISAYAS),Leyte,307.108,131.401,10.26
Visayas,2020,REGION VIII (EASTERN VISAYAS),Tacloban City,182.463,26.67,14.84
Visayas,2020,REGION VIII (EASTERN VISAYAS),Northern Samar,437.131,45.501,10.52
Visayas,2020,REGION VIII (EASTERN VISAYAS),Samar,545.699,55.927,10.35
Visayas,2020,REGION VIII (EASTERN VISAYAS),Southern Leyte,310.053,30.143,9.91
Visayas,2020,REGION VIII (EASTERN VISAYAS),Biliran,120.06,16.349,13.74
Visayas,2021,REGION VI (WESTERN VISAYAS),Aklan,440,42.5,9.66
Visayas,2021,REGION VI (WESTERN VISAYAS),Antique,415,41.7,10.05
Visayas,2021,REGION VI (WESTERN VISAYAS),Capiz,596,58.3,9.78
Visayas,2021,REGION VI (WESTERN VISAYAS),Iloilo,170,136,9.25
Visayas,2021,REGION VI (WESTERN VISAYAS),Iloilo City,340,30.8,9.06
Visayas,2021,REGION VI (WESTERN VISAYAS),Negros Occidental,120,177,9.73
Visayas,2021,REGION VI (WESTERN VISAYAS),Bacolod City,445,38.3,8.61
Visayas,2021,REGION VI (WESTERN VISAYAS),Guimaras,134,17.5,13.06
Visayas,2021,REGION VII (CENTRAL VISAYAS),Bohol,935,92.7,9.91
Visayas,2021,REGION VII (CENTRAL VISAYAS),Cebu,220,241,9.96
Visayas,2021,REGION VII (CENTRAL VISAYAS),Cebu City,665,70,10.53
Visayas,2021,REGION VII (CENTRAL VISAYAS),Lapulapu City,326,29.6,9.08
Visayas,2021,REGION VII (CENTRAL VISAYAS),Mandaue City,275,25.8,9.38
Visayas,2021,REGION VII (CENTRAL VISAYAS),Negros Oriental,105,99.2,9.87
Visayas,2021,REGION VII (CENTRAL VISAYAS),Siquijor,73,9.6,13.15
Visayas,2021,REGION VIII (EASTERN VISAYAS),Eastern Samar,350,34.4,9.83
Visayas,2021,REGION VIII (EASTERN VISAYAS),Leyte,1330,133,10
Visayas,2021,REGION VIII (EASTERN VISAYAS),Tacloban City,185,27.1,14.65
Visayas,2021,REGION VIII (EASTERN VISAYAS),Northern Samar,445,46,10.34
Visayas,2021,REGION VIII (EASTERN VISAYAS),Samar,555,56.8,10.23
Visayas,2021,REGION VIII (EASTERN VISAYAS),Southern Leyte,315,30.6,9.71
Visayas,2021,REGION VIII (EASTERN VISAYAS),Biliran,123,16.7,13.58
Visayas,2022,REGION VI (WESTERN VISAYAS),Aklan,452,43.7,9.67
Visayas,2022,REGION VI (WESTERN VISAYAS),Antique,110,42.8,10.12
Visayas,2022,REGION VI (WESTERN VISAYAS),Capiz,60,59.1,9.69
Visayas,2022,REGION VI (WESTERN VISAYAS),Iloilo,95,138.2,9.25
Visayas,2022,REGION VI (WESTERN VISAYAS),Iloilo City,348,31.6,9.09
Visayas,2022,REGION VI (WESTERN VISAYAS),Negros Occidental,40,179,9.73
Visayas,2022,REGION VI (WESTERN VISAYAS),Bacolod City,55,39,8.57
Visayas,2022,REGION VI (WESTERN VISAYAS),Guimaras,37,17.9,13.07
Visayas,2022,REGION VII (CENTRAL VISAYAS),Bohol,95,93.4,9.88
Visayas,2022,REGION VII (CENTRAL VISAYAS),Cebu,450,244,9.96
Visayas,2022,REGION VII (CENTRAL VISAYAS),Cebu City,62,71,10.56
Visayas,2022,REGION VII (CENTRAL VISAYAS),Lapulapu City,132,30,9.03
Visayas,2022,REGION VII (CENTRAL VISAYAS),Mandaue City,280,26.2,9.36
Visayas,2022,REGION VII (CENTRAL VISAYAS),Negros Oriental,120,100.3,9.83
Visayas,2022,REGION VII (CENTRAL VISAYAS),Siquijor,75,9.8,13.07
Visayas,2022,REGION VIII (EASTERN VISAYAS),Eastern Samar,355,35,9.86
Visayas,2022,REGION VIII (EASTERN VISAYAS),Leyte,145,134.7,10.01
Visayas,2022,REGION VIII (EASTERN VISAYAS),Tacloban City,188,27.4,14.57
Visayas,2022,REGION VIII (EASTERN VISAYAS),Northern Samar,452,46.8,10.36
Visayas,2022,REGION VIII (EASTERN VISAYAS),Samar,165,57.6,10.2
Visayas,2022,REGION VIII (EASTERN VISAYAS),Southern Leyte,320,31,9.69
Visayas,2022,REGION VIII (EASTERN VISAYAS),Biliran,125,17.1,13.68
